"TOA5","CR3000","CR3000","1985","CR3000.Std.06","CPU:BLSS_STECKLER_EH_CO2.CR3","363","Test"
"TIMESTAMP","RECORD","Batt_volt_Min","Batt_volt_TMn","CO2_Room_ppm_Avg","CO2_BLSS_ppm_Avg","Counter_CO2_sec","Room_C_Avg","Room_RH_Avg","BLSS_WET_C_Avg","BLSS_WET_RH_Avg","BLSS_DRY_C_Avg","BLSS_DRY_RH_Avg","RH_Control_SetPt_Avg","AirT_CoolSetPt_Diff_Avg","Heating_Control_Avg","BaroPress_Avg","O2_MASTER_Percent_Avg","DO2A_ppm_Avg","DO2B_ppm_Avg","EC_Tank_A_mS_Avg","EC_Tank_B_mS_Avg","RunAvgEC_A","RunAvgEC_B","LC_Nut_A_Avg","LC_Nut_B_Avg","PH_Tank_A_pH_Avg","PH_Tank_B_pH_Avg","Prt8pHB_Tot","RunAvgpH_A","RunAvgpH_B","LC_Acid_A_Avg","LC_Acid_B_Avg","LAMP_DI_TANK_C_Avg","GLYCOL_HEAT_EX_H2O_TANK_C_Avg","NUTRIENT_TANK_C_Avg","RunAvgHID_Bulb_Temp","BLSS_Exhaust_C_Avg","SST_Avg(1)","SST_Avg(2)","SST_Avg(3)","HID_Bulb_Temp_Avg","PAR_Avg","BLSS_Dew_Point_C_Avg","Dewpoint_and_Coolant_Difference_C_Avg","LAMP_VALVE_OPEN_Percent","Depth_1","Depth_1_Vol","Depth_2","Depth_2_Vol","Depth_3","Depth_3_Vol","BLSS_MASS_Avg","CO2_Bottle_Mass_Avg","Heating_Valve_Avg","Cooling_Valve_Avg","laborMeas","floodMeas_Avg"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Min","TMn","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Tot","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Smp","Avg"
"2015-07-30 17:00:00",0,12.95,"2015-07-30 16:59:45",395.1,481.9,0,27.67,38.74,27.22,40.71,27.23,67.24,32.4,6.569,21.77,92.6,20.77,"NAN",6.208,-0.414,2.249,-0.414,2.249,12.48,6.744,-1.045,5.719,0,-1.045,5.719,-0.538,11.09,27.03,0,0,31.74,0,30.54,30.17,27.03,31.75,0.588,10.07,11.55,6,0.171,28,0.272,58.87,0.387,89.2,91,-0.038,0,6000,0,0
"2015-07-30 17:05:00",1,12.95,"2015-07-30 17:04:00",405,499.1,0,27.67,38.93,27.24,40.12,27.26,67.26,40.22,8.24,27.24,92.6,20.76,"NAN",6.205,-0.23,2.248,-0.23,2.248,12.51,6.705,-0.961,5.719,0,-0.961,5.719,-0.396,11.23,27.04,0,0,31.05,0,30.25,30.17,27.04,31.24,0.098,12.51,14.53,6,0.171,28.02,0.272,58.95,0.387,89.1,114.3,-0.038,0,7999,0,0
"2015-07-30 17:10:00",2,12.95,"2015-07-30 17:07:00",400.6,433.4,0,27.67,38.68,27.14,39.72,27.19,67.18,39.7,8.15,27.15,92.6,20.78,"NAN",6.196,-0.132,2.249,-0.132,2.249,12.64,6.873,-0.895,5.735,0,-0.895,5.735,-0.474,11.37,27.06,0,0,30.94,0,29.86,30.17,27.06,31.03,28.59,12.22,14.84,6,0.171,28.05,0.273,59.2,0.387,89.2,105,-0.037,0,7999,1,0
"2015-07-30 17:15:00",3,12.95,"2015-07-30 17:11:15",397.9,456.8,0,27.72,38.76,27.13,40.22,27.16,67.16,40.22,8.13,27.13,92.6,20.78,"NAN",6.213,-0.068,2.248,-0.068,2.248,12.79,6.925,-0.811,5.742,0,-0.811,5.742,-0.474,11.48,27.07,0,0,31.43,0,29.98,30.2,27.07,31.22,253.1,12.41,14.67,6,0.171,27.97,0.273,59.13,0.387,89.1,90.5,-0.038,0,7999,1,0
"2015-07-30 17:20:00",4,12.95,"2015-07-30 17:15:15",416.1,553.5,0,27.78,38.92,27.17,41.5,27.2,67.2,41.29,8.16,27.16,92.6,20.78,"NAN",6.229,-0.031,2.247,-0.031,2.247,12.77,7.261,-0.758,5.75,0,-0.758,5.75,-0.512,11.45,27.09,0,0,31.68,0,30.24,30.25,27.09,31.62,244,12.85,14.24,3,0.171,28.06,0.273,59.04,0.387,89.1,89.9,-0.035,0,7999,1,0
"2015-07-30 17:25:00",5,12.95,"2015-07-30 17:21:45",406.1,599,0,27.83,38.89,27.43,40.49,27.48,67.49,40.74,8.41,27.41,92.6,20.77,"NAN",6.232,-0.042,2.247,-0.042,2.247,12.86,7.235,-0.791,5.737,0,-0.791,5.737,-0.409,11.4,27.11,0,0,31.84,0,30.39,30.28,27.11,31.77,248.4,12.86,14.25,6,0.171,28.02,0.273,59.15,0.387,89.1,88.9,-0.033,0,7999,1,0
"2015-07-30 17:30:00",6,12.95,"2015-07-30 17:28:30",420.9,502.5,0,27.86,39.33,27.54,39.44,27.62,67.61,39.43,8.54,27.54,92.6,20.76,"NAN",6.239,-0.012,2.246,-0.012,2.246,12.69,7.235,-0.756,5.734,0,-0.756,5.734,-0.5,11.34,27.12,0,0,31.87,0,30.53,30.33,27.12,31.88,250.6,12.47,14.65,6,0.171,28.02,0.274,59.33,0.387,89.1,88.7,-0.027,0,7999,1,0
"2015-07-30 17:35:00",7,12.95,"2015-07-30 17:34:45",429.9,475.5,0,27.86,39.29,27.55,39.36,27.57,67.57,39.34,8.55,27.55,92.6,20.76,"NAN",6.326,-0.031,2.247,-0.031,2.247,12.7,7.222,-0.774,5.743,0,-0.774,5.743,-0.435,11.39,27.13,0,0,32.01,0,30.63,30.37,27.13,31.99,246,12.45,14.68,6,0.171,28.03,0.273,59.04,0.387,89.1,89.5,-0.04,0,7999,1,0
"2015-07-30 17:40:00",8,12.95,"2015-07-30 17:40:00",419.9,437.5,0,27.85,39.08,27.54,39.47,27.54,67.54,39.47,8.54,27.54,92.6,20.77,"NAN",6.32,-0.049,2.246,-0.049,2.246,12.91,7.286,-0.799,5.733,0,-0.799,5.733,-0.512,11.58,27.15,0,0,32.09,0,30.71,30.42,27.15,32.06,247.4,12.48,14.67,6,0.171,27.95,0.272,59.01,0.386,89.1,88.4,-0.04,0,7999,1,0
"2015-07-30 17:45:00",9,12.95,"2015-07-30 17:44:15",407.1,438.3,0,27.86,38.89,27.57,39.3,27.61,67.61,39.31,8.57,27.57,92.6,20.79,"NAN",6.312,-0.049,2.246,-0.049,2.246,12.92,7.312,-0.797,5.718,0,-0.797,5.718,-0.525,11.56,27.17,0,0,31.94,0,30.77,30.46,27.17,32.1,182.7,12.45,14.72,6,0.171,28.03,0.272,59.01,0.387,89.1,88.3,-0.04,0,7999,1,0
"2015-07-30 17:50:00",10,12.95,"2015-07-30 17:45:30",404.7,433.2,0,27.88,38.89,27.6,39.18,27.69,67.69,39.19,8.6,27.6,92.6,20.78,"NAN",6.311,-0.025,2.246,-0.025,2.246,12.64,7.209,-0.781,5.706,0,-0.781,5.706,-0.538,11.35,27.19,0,0,31.77,0,30.65,30.48,27.19,31.77,144.4,12.42,14.76,6,0.171,28,0.273,59.15,0.386,89.1,88.2,-0.04,0,7999,1,0
"2015-07-30 17:55:00",11,12.95,"2015-07-30 17:54:00",396.5,425.3,0,27.89,38.84,27.59,39.12,27.69,67.68,39.11,8.59,27.59,92.6,20.77,"NAN",6.309,-0.03,2.246,-0.03,2.246,12.64,7.157,-0.777,5.748,0,-0.777,5.748,-0.435,11.28,27.21,0,0,32,0,30.69,30.52,27.21,31.96,228.9,12.39,14.82,6,0.171,28.06,0.273,59.17,0.386,89,88.3,-0.04,0,7999,1,0
"2015-07-30 18:00:00",12,12.95,"2015-07-30 17:55:45",396.9,420,0,27.86,38.82,27.57,39.11,27.61,67.61,39.11,8.57,27.57,92.6,20.77,"NAN",6.297,-0.038,2.245,-0.038,2.245,12.73,7.183,-0.776,5.747,0,-0.776,5.747,-0.448,11.41,27.22,0,0,32.06,0,30.76,30.55,27.22,32.05,228.7,12.37,14.85,6,0.171,28.05,0.273,59.15,0.386,89.1,88.3,-0.04,0,7999,1,0
"2015-07-30 18:05:00",13,12.95,"2015-07-30 18:00:30",398.5,418.8,0,27.85,38.76,27.56,39.08,27.57,67.57,39.08,8.56,27.56,92.6,20.77,"NAN",6.286,-0.022,2.246,-0.022,2.246,12.81,7.17,-0.761,5.751,0,-0.761,5.751,-0.422,11.43,27.24,0,0,32.05,0,30.81,30.58,27.24,32.08,228.7,12.35,14.89,6,0.171,27.98,0.273,59.19,0.386,89,88.3,-0.04,0,7999,1,0
"2015-07-30 18:10:00",14,12.95,"2015-07-30 18:06:30",389.6,419,0,27.83,38.74,27.55,39.08,27.57,67.57,39.07,8.55,27.55,92.6,20.79,"NAN",6.288,-0.012,2.245,-0.012,2.245,12.73,7.222,-0.759,5.748,0,-0.759,5.748,-0.474,11.31,27.25,0,0,32.08,0,30.83,30.62,27.25,32.08,228.3,12.33,14.92,6,0.171,27.98,0.273,59.03,0.386,89,88.3,-0.04,0,7999,1,0
"2015-07-30 18:15:00",15,12.95,"2015-07-30 18:13:00",393.3,417.9,0,27.85,38.54,27.55,38.93,27.56,67.56,38.94,8.55,27.55,92.6,20.79,"NAN",6.28,-0.016,2.246,-0.016,2.246,12.78,7.209,-0.764,5.753,0,-0.764,5.753,-0.512,11.35,27.27,0,0,32.1,0,30.85,30.64,27.27,32.08,228.2,12.28,14.99,6,0.171,28.03,0.273,59.13,0.386,89,88.3,-0.04,0,7999,1,0
